"","WRU","2030"
"1","1A",244672.342219251
"2","1Ba",925450.803793073
"3","1Bb",329712.705306386
"4","1C",435081.91336441
"5","1E2",266136.632170677
"6","1F",352538.644240485
"7","1G",187775.980610698
"8","1H",346563.185523347
"9","1K",253507.909848208
"10","1L",82192.3136245838
"11","1M",99715.8919018537
"12","1N",34800.1079888716
"13","1O",167275.609075815
"14","1P",113406.818233106
"15","1R",527553.605604852
"16","1S",285327.278030038
"17","1T",178168.29533577
"18","2A",294978.258801869
"19","2B",1106249.01234223
"20","2C",302781.344187528
"21","2D",163005.717671704
"22","3A",275268.709869966
"23","3B",43850.1250298209
"24","3C",92734.4896925249
"25","3D",248971.658476591
"26","3E",272853.728617136
"27","3F",173698.756105555
"28","4A",139161.43001293
"29","4B",1076392.56726355
"30","4C",800368.563115635
"31","4D",1199037.63911686
"32","4E",789439.028640747
"33","4F",217551.026584685
"34","5C",161968.862952395
"35","5D",779813.51256752
"36","5E",1101374.49978438
"37","5F",315227.420641263
"38","6A",45584.3355540511
"39","6B",48442.8949060828
"40","6C",328833.214551926
"41","6D",424461.627567758
"42","7A",406344.602909774
"43","7B",148338.408892632
"44","7C",89717.3641488544
"45","7D",498566.568651199
"46","7E",124547.861738183
"47","7F",113076.197891296
"48","7G",90216.4768156229
"49","7H",26496.0992300527
"50","8A",76611.6933788003
"51","9A",141521.982714647
"52","9B",233454.886223137
"53","10A",305122.482576477
"54","11A",620539.020286612
"55","14A",537382.672838211
"56","14B",828392.531593245
"57","14C",476775.568085309
"58","14D",72951.4214859009
"59","15A",464884.145176652
"60","15B",422509.297839615
"61","15C",36458.9982104702
"62","16E",151795.477778281
"63","16F",189188.420236167
"64","16G",104577.367325843
"65","17A",92784.683886528
"66","17B",26951.1656327658
"67","17C",137645.237534836
